Power station name,Installed capacity,Accreditation start date
Bentinck St Bathurst - Solar w SGU- NSW,0.6011,30/01/2024
Norseman Renewable Energy Facility - Solar - WA,0.7651,30/01/2024
Cooke's Truck Tyre Centre - Solar w SGU - South Nowra - NSW,0.1795,29/01/2024
"358 Chisholm Rd, Auburn - Solar w SGU - NSW",0.2042,29/01/2024
MWSC Microgrid - Solar - NSW,0.3514,25/01/2024
Logan Rd Upper Mount Gravatt - Solar - QLD,0.3461,24/01/2024
Gilston Rd & New St Nerang - Solar - QLD,0.5041,24/01/2024
Bluebird-Solar-WA,12.3606,24/01/2024
SCHO005-Solar-NSW,0.1202,23/01/2024
SCHO006-Solar-NSW,0.1403,23/01/2024
SCHO007-Solar-NSW,0.1502,23/01/2024
Grand Plaza - Solar - QLD,2.3909,23/01/2024
Signature Care Wagga Wagga Community Aged Care w SGU - Solar - NSW,0.1998,22/01/2024
Blue Care Carina - Solar - QLD,0.3681,22/01/2024
Blue Care Mt Louisa - Solar w SGU - QLD,0.3215,22/01/2024
Blue Care Redcliffe - Solar w SGU - QLD,0.2202,22/01/2024
CCLHD - Wyong Hospital - Solar - NSW,0.677,22/01/2024
PEPE'S DUCKS HAM ST - SOLAR - NSW,0.2047,18/01/2024
My Muscle Chef - Yennora - Solar w SGU - NSW,0.5503,17/01/2024
Narrandera-Solar-NSW,7.2128,17/01/2024
Dexus Elders - Solar - VIC,0.35,17/01/2024
Woolworths Ayr 2563 - Solar - QLD,0.2162,16/01/2024
Austral Plant Services Dandenong Ext - Solar w SGU - VIC,0.1797,16/01/2024
Lake Edge Resort- Solar W SGU- NSW,0.1723,16/01/2024
Goodman Amazon Kemps Creek - Solar - NSW,3,16/01/2024
AU865 PortAir Industrial Estate - Solar - NSW,0.1886,15/01/2024
AU870 Interchange Pk 7 Interchange - Solar w SGU - NSW,0.6343,15/01/2024
UTS Building A/B - Solar - NSW,0.5396,11/01/2024
Watervale Dr Green Fields - Solar w SGU - SA,0.3956,9/01/2024
Holbeche Rd Arndell Park - Solar w SGU - NSW,0.2627,9/01/2024
Brickworks Rd Bendigo East - Solar - VIC,0.4747,9/01/2024
IKAD Sparks Rd w SGU - Solar - WA,0.363,4/01/2024
Interfine Investments Pty Ltd - 384kW - Solar - NSW,0.384,22/12/2023
AU729 Chifley BP 5ChifleyDr - Solar - VIC,0.2486,21/12/2023
AU729 Chifley BP 3Federation - Solar - VIC,0.156,21/12/2023
Sylvan Australia - Solar w SGU - NSW,0.1807,21/12/2023
Woolworths Bellmere 2015 - Solar - QLD,0.2318,21/12/2023
Southern Steel Properties (77 Coulson St) - Solar w SGU - QLD,0.3003,20/12/2023
Australia Post: Dandenong Letters Centre (DLC) - Solar - VIC,0.7503,18/12/2023
ROBE SOLAR FARM - Solar - NSW,2.8426,18/12/2023
Wesley College South Perth - Solar  - WA,0.5986,15/12/2023
Interfine Investments Pty Ltd - 416kW - Solar - NSW,0.416,14/12/2023
Bankstown Courthouse - Solar - NSW,0.15,13/12/2023
Parramatta Courthouse - Solar - NSW,0.185,13/12/2023
Parramatta Children's Court - Solar - NSW,0.23,13/12/2023
Urban Utilities Luggage Point Cogen - Biogas - QLD,2.242,13/12/2023
Mount Druitt Courthouse - Solar - NSW,0.15,13/12/2023
Pumpa Manufacturing - Solar - VIC,0.1702,12/12/2023
Bayswater Downer Roads - Solar wSGU - VIC,0.1471,11/12/2023
Expansive Unit Trust - Solar - NT,0.2304,11/12/2023
Smithfield Sapphire Feedlot - Solar w SGU - QLD,0.3482,8/12/2023
Bendigo Project Solar Farm & BESS - Solar - VIC,7.02,8/12/2023
BIG W Canberra Airport 191 - Solar - ACT,0.1998,7/12/2023
Greentech 8 Solar Farm & BESS - Solar - VIC,6.513,5/12/2023
Charter Hall Eastern Creek-Solar-NSW,2.0001,4/12/2023
Bell Bay Solar Project - Solar - TAS,8.5152,4/12/2023
Redmud Green Energy 173 Pty Ltd - Solar - SA,6.3568,4/12/2023
Big W Parkes 133 - Solar - NSW,0.1996,4/12/2023
BARKLY HOMESTEAD- OFFGRID-SOLAR-NT,0.45,2/12/2023
WaSS Bega Depot and WTP - Solar - NSW,0.2852,1/12/2023
Bunnings Dandenong - Solar - VIC,0.28,30/11/2023
Shepparton Private Hospital - 318kW - Solar w SGU - VIC,0.318,29/11/2023
AU169 GOOD107 Goodman Oakdale West 2A - Solar - NSW,0.7504,28/11/2023
AU169 Aust Post Oakdale West 2A - Solar - NSW,0.75,28/11/2023
Signature Care Officer Community Aged Care - Solar w SGU - VIC,0.1998,28/11/2023
Broome Residential College - Solar - WA,0.1595,27/11/2023
FLATROCKS_WF1 - Wind Farm - WA,75.6,26/11/2023
Energy Bay - Keppel Bay Plaza - Solar wSGU - QLD,0.1872,24/11/2023
Energy Bay - Healius Murarrie - Solar wSGU - QLD,0.3592,24/11/2023
St Josephs Mt Isa - Solar w SGU - QLD,0.1453,21/11/2023
"Horsburgh Drive, Altona North - Solar w SGU - VIC",0.2025,21/11/2023
Morwell Bowling Club - Solar wSGU - VIC,0.1991,20/11/2023
Woolworths Naracoorte 5602 - Solar - SA,0.2751,17/11/2023
Woolworths Millicent 5647 - Solar - SA,0.2052,17/11/2023
AU001 Trade St Lytton Complex - Solar - QLD,0.8018,16/11/2023
National Lintels - Solar - WA,0.2245,16/11/2023
Australia Post: Sydney West Letters Facility (SWLF) - Solar - NSW,0.8611,14/11/2023
Australia Post: Sydney Gateway Facility (SGF) - Solar - NSW,0.7001,14/11/2023
Energy Bay - B&J (City Kitchen) - Solar wSGU - NSW,0.9237,14/11/2023
Fortnum-Solar-WA,5.4936,14/11/2023
AU372 Port Industry Park - Solar w SGU- QLD,0.3522,14/11/2023
Tanilba Bay WWTW - Solar - NSW,0.199,13/11/2023
CCEP Salisbury - Solar - SA,0.2616,13/11/2023
